company_name,job_title,location,salaries,description
Walmart Stores,Data Scientist - Path Forward Returnship,"Reston, VA",,"We employ big data at scale - from machine learning, data mining and optimization algorithms, to modeling and analyzing massive flows of data from online,..."
Builders Mutual,Data Scientist,"Raleigh, NC",,"The data scientist will apply data mining techniques, doing statistical analyses, and building high quality integrated or stand-alone prediction systems that..."
Loyaltylitics,Data Scientist Consultant,"Los Angeles, CA",$75 - $100 an hour,We seek data scientists who get excited about developing innovative solutions to new analytics challenges. Experience with data analytics projects involving...
Blue Ridge Information Systems,Data Scientist,"Falls Church, VA",,"Experience applying data science techniques, including machine learning, deep learning, statistical modeling and/or data visualization to solve challenging..."
Tech Mahindra Americas,Sr. Data Scientist,"Bothell, WA",,Responsibilities for Data Scientist:. To manipulate data and draw insights from large data sets. We are looking for a Data Scientist who will support our...
BridgePhase,Data Scientist,"Washington, DC",,"BridgePhase is hiring Data Scientists to support a newly awarded Data Science Services program for US Citizenship and Immigration Services (USCIS), a component..."
Zentech,Data Scientist,"Norfolk, VA",,Four years in the last 7 with experience conducting predictive analytics using data science (big data) and providing advice on relevant issues in the field of...
MCR LLC,Data Scientist,"Norfolk, VA",,Four years (within the last seven years) experience conducting predictive analytics using data science (big data) and providing advice on relevant issues in the...
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Microsoft,Research Intern - Computational Social Science at Microsoft Research NYC,"New York, NY",,Microsoft Research provides a dynamic environment for research careers with a network of world-class research labs led by globally-recognized scientists and...
Apple,"Data Scientist, Ad Platforms","Santa Clara Valley, CA",,"You've earned a PhD in Machine Learning, Statistics, Economics, Optimization or related field with experience building production systems or have equivalent..."
University of Pennsylvania,DATA SCIENTIST,"Philadelphia, PA",,"The Data Scientist is expected to bring extensive technical data analytics experience and expertise, strong communication skills, subject matter familiarity,..."
Greenville Health System,DATA SCIENTIST,"Greenville, SC",,Develops financial and clinical data analytics and analysis based on claims (administrative) data and electronic medical records (EMR) with a focus on...
Booz Allen Hamilton,"Quantitative GMC/Data Strategist, Junior","Springfield, VA",,"You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and..."
IBM,Finance Data Scientist,"Rochester, MN",,"The Finance Data Scientist’s objective is to help deliver innovative analytics solutions based on deep Business Intelligence, Big Data and insight reporting..."
Trowbridge & Trowbridge,Data Scientist,"Washington, VA",,"Mid-level Data Scientist. The data scientist work includes the design, modification, and/or use of scientific computing, programming, and mathematics...."
Virginia Dept of Transportation,Data Scientist,"Richmond, VA","$72,568 - $115,000 a year","Work with a variety of different types of datasets, and include data processing, data cleaning and validation, data reconciliation and expansion, classical..."
Google,"Analyst, Applied Data and Machine Learning","San Francisco, CA",,"Build and manage data infrastructure, ETLs, and data integrity across multiple patent workflow applications. Experience in a statistical programming language (R..."
1904labs,Data Scientist,"St. Louis, MO",,"As a Data Scientist with 1904labs, you will be working with other data scientists, data engineers, and developers to provide analytical services to clients...."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
BMW Technology Corporation,Data Scientist Summer Internship 2019,"Chicago, IL",,"This position will primarily work with Spark, Databricks, Azure and R (or Python) to create analysis, insights and topic models for customer feedback...."
"Computer Enterprises, Inc. (CEI)",Data Scientist - Predictive Analytics,"Philadelphia, PA","$130,000 - $160,000 a year","Data Scientist (Predictive Analytics) *. Looking for More of a Data Scientist Background:. Comfortable with Big Data Platforms. R, SAS, or Python Skills...."
Facebook,"Research Scientist, PhD Student or Grad (Systems and Infrastructure)","New York, NY",,"The ideal candidate will have a keen interest in relevant engineering fields, such as (but not limited to) distributed software systems, storage systems, data..."
MatchP Solutions,Data Scientist,"Doral, FL",$50 - $70 an hour,"(e.g., Data Mining and Processing, Building Analytic Systems driving business insights, etc.). Data science toolkits, such as R, NumPy, MatLab, Tensorflow, etc...."
Uber,2019 PhD Data Scientist Internship - Cities and Urban Mobility,"San Francisco, CA",,"Strong data skills and the ability to learn to use tools such as SQL, Python, R, and GIS mapping tools to work efficiently at scale...."
"Gametime United, Inc.",Senior Data Scientist,"San Francisco, CA",,"Collaborate with a team of data engineers, data scientists, and analysts. We are looking for an experienced data scientist to work cross-functionally with our..."
Adobe,Data Scientist,"San Jose, CA",,"Deep understanding of statistical modeling, machine learning, or data mining concepts, and a track record of solving problems with these methods...."
Nestle USA,Data Scientist,"Arlington, VA",,Strong examples of applying statistical and data mining techniques to uncover new insights that were applied to business decision making....
NewWave Telecom & Technologies,Data Scientist,Remote,,"NewWave is looking for a passionate data scientist to work in a fast paced, challenging and innovative environment to build out the next generation data..."
"Science System and Applications, Inc.",DAAC Data Scientist,"Hampton, VA",,"Perform metadata quality assessments for Earth Science data records, and data access tools. MS in atmospheric science, physics, earth sciences, or a related..."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
FedEx Custom Critical,Data Scientist,"Uniontown, OH",,"Data,analytics, big data, programming, analysis, data analysis, SQL, dashboard,dashboards, computer science, math, mathematics, forecasting, forecast,business..."
CO-OP Financial Services,Data Scientist,"Fort Worth, TX",,"The Data Scientist applies data mining techniques, mathematical and statistical analysis, and machine learning algorithms to large data sets in order to provide..."
Facebook,"Data Scientist, AR/VR Camera","Menlo Park, CA",,"Use technologies and methods such as Dataswarm, Hive, Python, R, SQL to create deep scalable and repeatable insights that will empower the team while informing..."
Sam's Club,Data Scientist - Sam's Club Technology,"Dallas, TX",,Sam's Club Technology is looking for Data Scientists specializing in Machine Learning / Artificial Intelligence to join the Data Science & Engineering group....
Nu Skin,Data Scientist,"Provo, UT",,We are looking for talented Machine Learning Scientists who can apply innovative Machine Learning techniques to real-world problems....
ConServe,Data Scientist,"Rochester, NY",,"The Analyst will provide support for mining data to identify behavior patterns, predict trends, and forecast outcomes to support data-driven decisions and drive..."
Uber,Behavioral Data Scientist,"San Francisco, CA",,"Uber Labs data scientists form cross-functional partnerships with product, marketing, and data science teams across the business to bring insights and methods..."
Indeed,Senior Data Scientist,"Seattle, WA",,"As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist, machine learning expert and..."
SERCO INC.,Statistician Data Scientist -Levels 1-4 (MOJ-P) NC52374917,"Springfield, VA",,"Applies business analytics and customer segmentation techniques in any corporate function, e.g. marketing analytics, consumer analytics, operations analysis,..."
BlueCross BlueShield of South Carolina,Data Analysis Manager,"Columbia, SC",,"Analysis may include medical costs and trending for senior management, clinical measures, limited underwriting, and provider and operations based analytics...."
MCR LLC,Data Scientist,"Norfolk, VA",,Four years (within the last seven years) experience conducting predictive analytics using data science (big data) and providing advice on relevant issues in the...
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
S5 Stratos,Principal Data Scientist,"Dallas, TX",,Principal Data Scientist*. You can provide credible hands-on management to highly-qualified engineers and data scientists....
Freddie Mac,Data Analytics Professional - Data Scientist,"McLean, VA",,"1 to 3 years of experience performing data analysis using data analytics tools like R, Python, SAS, or SQL...."
Roku,"Intern, Data Science","New York, NY",,"Work along-side our data scientists to build models that can optimize Roku's business. Education in applied math, physics, economics, computer science, data..."
Axiologic Solutions,E-09-311 Data Scientist,"Fairfax, VA",,"Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists,..."
Contineo Health,Data Reporting / Healthcare Information Data Scientist,"Memphis, TN","$80,000 a year","Data Reporting / Healthcare Information Data Scientist. Ability to parse data in common file formats such as csv and xml files, applying regular expressions and..."
First Student,Senior Data Scientist,"Cincinnati, OH",,"Senior Data Scientist Responsibilities:. Utilization of machine learning and other techniques to prevent, detect/resolve route data and operational data..."
U-Haul,Data Scientist,"Phoenix, AZ",,"Coding procedures and data pipes for processing and analysis of structured and unstructured data in rest and data in motion using SQL, HDFS, ELK, Storm, Hive,..."
S&P Global,Data Scientist,"New York, NY",,"You will work closely with other senior scientists to create state of the art Augmented Intelligence, Data Science and Machine Learning solutions...."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
Conde Nast,Data Scientist,"New York, NY",,"Work with both management and organizational peers to improve results by applying quantitative analysis, data mining, and machine learning methods to ongoing..."
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
Conde Nast,Data Scientist,"New York, NY",,"Work with both management and organizational peers to improve results by applying quantitative analysis, data mining, and machine learning methods to ongoing..."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Virginia Dept of Transportation,Data Scientist,"Richmond, VA","$72,568 - $115,000 a year","Work with a variety of different types of datasets, and include data processing, data cleaning and validation, data reconciliation and expansion, classical..."
Expedia,Principal Data Scientist,"Bellevue, WA",,"Principal Data Scientist. Democratize/standardize customer analytics (repeat rate, CLTV etc) by building cohort/longitudinal data service...."
American Express,Data Scientist,"New York, NY",,You will apply your deep expertise in analytics - from classic statistics to machine learning and network theory - to inform programs focused on employee...
"Integral Consulting Services, Inc.",Data Scientist,"Manassas, VA",,"Create models to discover insights and opportunities using statistical, algorithmic, mining, and visualization techniques...."
Salesforce,Product Data Scientist - Quip,"San Francisco, CA",,We're looking for a seasoned product data scientist who can surface actionable insights that transform our product....
PwC,Data Scientist - (PwC Labs),"Tampa, FL",,"Programming including Python, R, Java, JavaScript, C++, Unix Hardware, sensors, robotics, GPU enabled machine learning, FPGAs, and Raspberry Pis, etc.;..."
Everis USA,Data Scientist,"Orange, CT",,"Industrialize Machine Models integration in production processes. Work closely with Data Engineers team to collect, analyze and interpretate large amounts of..."
MCR LLC,Data Scientist,"Norfolk, VA",,Four years (within the last seven years) experience conducting predictive analytics using data science (big data) and providing advice on relevant issues in the...
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Guilford County Government,Data Scientist,"Greensboro, NC","$58,088 - $78,419 a year",The ideal candidate will have significant training in the principles and practices of data science and a firm grasp of a data science programming language such...
Devoted Health,Data Scientist- Analytics,United States,,"We are looking for senior data scientists with experience in decision science, analytics, and/or business intelligence -- able to turn internal team members’..."
Google,"Data Scientist, Acquisition and Onboarding, Google Customer Solutions","Redwood City, CA",,"The Data Science team develops, delivers and measures impact of advanced machine learning models and predictive analytics solutions at scale...."
Virgin Pulse,Data Scientist,"Providence, RI",,"Experience with R, SQL and data visualization tools and techniques preferred. Access and manipulate data using SQL, R, Python in AWS databases for analytic and..."
PwC,Data Scientist - (PwC Labs),"Tampa, FL",,"Programming including Python, R, Java, JavaScript, C++, Unix Hardware, sensors, robotics, GPU enabled machine learning, FPGAs, and Raspberry Pis, etc.;..."
K12,Data Scientist,United States,,"Deep data munging ability to prepare data for machine learning algorithms. Familiarity with data life cycle management practices including sourcing, discovery,..."
Allied Associates International,Junior Data Scientist (Secret Clearance),"Chantilly, VA",,"Develop custom data models and algorithms to be applied to data sets, inclusive of machine learning techniques...."
AETNA,Lead Data Scientist,"New York, NY",,"Thecandidate will lead a team of data scientists to develop analytics module witha full suite of A/B testing features, build machine leaning models to..."
Jewelers Mutual Insurance Company,Data Scientist I,"Dallas, TX",,The Data Scientist I will work closely with EIM BI Engineers to be data subject matter experts as the Data Lake environment is constructed....
Uber,Data Scientist - Policy Economics,"San Francisco, CA",,"Strong data skills and the ability to use tools such as SQL, Python, and R to work efficiently at scale. Manage relationships with our outside research partners..."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
MCR LLC,Data Scientist,"Norfolk, VA",,Four years (within the last seven years) experience conducting predictive analytics using data science (big data) and providing advice on relevant issues in the...
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Pieces Technologies,Data Scientist I,"Dallas, TX",,"Derive business insights from data, answer clinical questions using data science techniques, respond to on-demand requests for general business reports, support..."
Intelegencia,Sr. Data Scientist,"Reston, VA",,Want to join a fast-paced data science team focused on applying cutting edge Machine Learning (ML) to build personalized and smart data products?...
Extra Space Storage,Associate Data Scientist,"Salt Lake City, UT",,"Ability to manage large data sets, synthesize and communicate findings. You will lead and manage various market research studies and other ad-hoc data analyses...."
Biconvex,Data Scientist,"Washington, DC",,"Demonstrated experience performing data assessment, data engineering, modeling, and analytics to enable new methodologies for end users...."
Ascensus,Senior Data Scientist,"Brainerd, MN",,The Senior Data Scientist will be integral in driving the impact of analytics throughout our organization identifying advanced analytic opportunities and...
Whitepages,Data Scientist,"Seattle, WA",,"1+ years of relevant industry experience developing machine learning models in a business context, or at least 3 years of relevant academic experience...."
The Farmer's Dog,Data Scientist - Forecasting & Optimization,"Manhattan, NY",,The Farmer's Dog is looking for a Data Scientist to join the Data Strategy & Insights team. You will be tasked with leveraging diverse data sets and your math...
T. Rowe Price,Data Scientist (Multiple Levels) - NYC,"New York, NY",,"We’re looking for Data Scientists at various levels to join our Technology Development Center in Union Square, NYC...."
Intermedia Advertising,Data Scientist/Visualization Master,"Los Angeles, CA",,Developing data analytics models to improve our attribution platform. Use data to understand business patterns and trends....
Staples,Associate Data Scientist,"Framingham, MA",,Collaborate with other research scientists to develop advanced analytical models and support the development of optimization and machine learning algorithms....
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
MCR LLC,Data Scientist,"Norfolk, VA",,Four years (within the last seven years) experience conducting predictive analytics using data science (big data) and providing advice on relevant issues in the...
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Microsoft,Senior Data Scientist,"Bellevue, WA",,"Machine learning modeling, online service implementation/hosting, infrastructure, data analytics, compliance, business intelligence, etc...."
Willow Pump,Lead Data Scientist,"Mountain View, CA",,"Reporting to the VP of Data Science & Analytics, the candidate will be responsible for understanding all the data we collect in the company to provide..."
Etech Hi,Data Scientist,"Seattle, WA","$140,000 - $200,000 a year",5-10 years of experience with predictive data analytics written in R*. Creating effective data visualizations within reports....
UnitedHealth Group,Principal Data Scientist - Telecommute,"Atlanta, GA",,5+ years of hands-on experience in data mining and predictive analytics with machine learning / statistical modeling techniques....
Uber,Data Scientist - Matching,"San Francisco, CA",,"This includes crafting a machine learning or data science solution to achieve a business goal, guiding the team's direction through data-driven insights and..."
Gerdau,Data Scientist Intern 1,"Tampa, FL",,Have the opportunity to apply your analytics skills and data science knowledge to create data models that will address issues impacting the business process...
ManTech International Corporation,Data Scientist Engineer,"Herndon, VA",,"Currently, ManTech is seeking a motivated, mission oriented Data Scientist Engineer in the Herndon, Virginia area, with strong Customer relationships...."
Novetta,Data Scientist/Programmer,"Reston, VA",,Experience with machine learning and big data tools and techniques for working with structured data. As a Data Scientist/Programmer you will work with our team...
"Anthem, Inc.",AI Data Scientist (PS20719),United States,,"At Anthem, Inc., it’s a powerful combination, and the foundation upon which we’re creating greater access to care for our members, greater value for our..."
Helen of Troy,Data Scientist,"El Paso, TX",,"Work directly with NAM to communicate internally and externally all forecasting plans roll up to sales demand, business opportunities, trends, and results...."
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
Central Intelligence Agency,Data Scientist,"Washington, DC","$67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Verizon,Data Scientist,"Ashburn, VA","$86,000 - $127,000 a year (Indeed est.)","Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC","$99,000 - $146,000 a year (Indeed est.)","Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
"Anthem, Inc.",AI Senior Data Scientist,United States,,Or Master’s Degree (plus not required) in computer science / operations research / applied statistics / data mining / machine learning / physics or a related...
Apple,"Siri - Machine Learning Engineer, Proactive Intelligence","Santa Clara Valley, CA",,"We are looking for a Senior Machine Learning Engineer who can solve novel problems in areas including personalization, information extraction, and performance..."
Roku,Data Scientist,"New York, NY","$111,000 - $163,000 a year (Indeed est.)","At Roku, Data Scientists leverage Big Data and machine learning to maximize efficiency and value across the business...."
LOCKHEED MARTIN CORPORATION,Data Scientist -- Machine Learning / Artif Intel,"Herndon, VA","$96,000 - $142,000 a year (Indeed est.)","Applied statistics, text mining, natural language processing, deep learning, optimization, and other similar fields...."
